Month,Sales,Profit,Orders,Quantity
2019-01,14236.895,2450.1907,32,284
2019-02,4519.892,862.3084,28,159
2019-03,55691.009,498.7298999999997,71,585
2019-04,28013.973,3500.894,66,534
2019-05,23648.287,2738.7096,69,466
2019-06,34595.1276,4976.5244,66,521
2019-07,33946.393,-841.4826000000004,65,550
2019-08,27909.4685,5318.105,72,609
2019-09,81777.3508,8328.0994,130,1000
2019-10,31453.393,3448.2573,78,573
2019-11,78628.7167,9292.1269,151,1219
2019-12,69545.6205,8983.5699,141,1079
2020-01,18174.0756,-3281.007,29,236
2020-02,13593.5854,2826.569,41,262
2020-03,37084.0776,9719.3796,74,492
2020-04,34646.1485,4253.719599999999,75,564
2020-05,30514.9445,4902.1242,74,591
2020-06,23963.094,3035.0786,65,449
2020-07,29777.021,3116.1375,67,567
2020-08,38254.2002,6280.262000000001,69,609
2020-09,63386.768000000004,7626.920099999999,142,1086
2020-10,33352.6155,3569.7223000000004,90,645
2020-11,79997.0515,12505.8409,158,1337
2020-12,67788.9272,7063.8569,154,1141
2021-01,18704.461,2888.0395,50,367
2021-02,22816.845,4941.3633,43,297
2021-03,51715.875,3611.9680000000003,86,579
2021-04,38750.039,2977.8149,89,635
2021-05,56987.728,8662.1464,108,863
2021-06,40344.534,4750.3781,97,742
2021-07,39261.963,4432.8779,96,758
2021-08,31115.3743,2062.0693,90,693
2021-09,73410.0249,9328.6576,192,1316
2021-10,59687.745,16243.1425,105,767
2021-11,79411.9658,4011.4075,183,1406
2021-12,96999.043,17885.3093,176,1414
2022-01,43971.374,7140.4391,69,597
2022-02,20301.1334,1613.872,53,363
2022-03,58872.3528,14751.8915,118,885
2022-04,36521.5361,933.2900000000002,116,733
2022-05,44261.1102,6342.5828,118,887
2022-06,52981.7257,8223.3357,133,931
2022-07,45264.416,6952.6212,111,840
2022-08,63120.888,9040.9557,111,884
2022-09,87866.652,10991.5556,226,1660
2022-10,77776.9232,9275.2755,147,1133
2022-11,118447.825,9690.1037,261,1840
2022-12,83829.3188,8483.346800000001,224,1723
