Product ID,Product Name,Category,Sub-Category,Orders,Sales,Profit,Quantity
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,5,61599.824,25199.928,20
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,10,27453.384,7753.039,31
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,1,22638.48,-1811.0784,6
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,8,21870.576,1.1368683772161603e-13,39
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,11,19823.479,2233.5051000000003,37
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,9,19024.5,760.9799999999998,48
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,8,18839.686,6983.8836,38
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,3,18374.895,4094.9766,12
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,6,17965.068,-1878.1662000000006,27
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,3,17030.311999999998,-262.00480000000005,11
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,4,16829.901,-4589.973,18
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,6,16656.2,-1299.1836,22
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,3,15875.916000000001,3345.2823,13
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,5,15610.9656,-669.5448000000001,24
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,2,14299.89,3717.9714000000004,11
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,6,13943.668,1822.7566,39
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,6,12996.6,1611.5784,24
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,12,12995.2915,-327.23310000000004,46
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,9,12975.382,951.862,32
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,4,11619.834,4570.9347,19
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,13,11572.78,1179.374,53
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,8,11304.44,3247.02,40
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines,3,11099.963,-8879.9704,9
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,6,11046.609,90.17640000000002,27
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,11,10925.003999999999,1575.1098,43
